text,label,notes
"Rebecca Lowe: ""Chaps, Alexi [Lalas] left us"" Zlatan: ""America, you're welcome""",opinion,
"[The Athletic] For the first time since 1930, the USMNT has won back-to-back games in the men’s World Cup.",factual,
Iran to complain to FIFA over World Cup travel restrictions / Iran’s request to travel to Los Angeles two days before Sunday's World Cup match against Belgium was denied.,factual,
"World Cup 2026: The sibling rivals lining up for different teams in the US, Canada and Mexico",factual,
"With their 2-0 victory against Australia, the United States are now the Unofficial Football World Champions.",factual,
[Czechia 1-1 South Africa] Schick waves off the referee and walks away; Mokoena reacts in disbelief,factual,
"[BBC Sport] Morocco completed 601 passes against Scotland, the most by an African team since records began in 1966",factual,
AC Sparta Praha using a video of Sivert Mannsverk pushing a pitch invader as the official signing announcement,factual,
Japanese fans celebrating Daichi Kamada's late equalizer against Netherlands at the Shibuya crossing in Tokyo.,factual,
Seattle fans singing Take Me Home Country Roads after full time,factual,
Messi nets hat trick ties Klose record with 16th World Cup goal,factual,
Oxford United sack head coach Matt Bloomfield,factual,
24-time Faroese champions HB sack manager André Olsen after one win in eight games,factual,
[V] SC Heerenveen approaching agreement on contract extension of Kirayno Schaken (17) until 2030. Several top clubs had shown interest. He's a son of former player Ruben Schaken. His brother Jerayno left SC Heerenveen for Feyenoord last season,factual,
[Reuters] Algeria lodge complaint to FIFA over refereeing in World Cup defeat to Argentina after Messi incident,factual,
"[Yahoo] Christian Pulisic ruled out with calf injury, Ricardo Pepi takes his place in USA's World Cup lineup Friday",factual,
"[Guardian] Manchester City close to financial settlement with Chelsea to appoint Enzo Maresca. Chelsea sources have indicated they have sufficient evidence to report City to the Premier League for making an illegal approach to Maresca, but have no plans to do so and are continuing to negotiate.",factual,
Report : “are you excited to watch him play in the world cup?” Ferran torres’ grandfather: “No.”,opinion,
"[The Athletic] Ismaël Koné has successful surgery, out of the World Cup – Canada Soccer",factual,
"10 years ago, Messi scored this goal against the USA in Copa America 2016, the first Puskás nominated free kick ever.",factual,
"Lula, President of Brazil, mocks Neymar: ‘Neymar is the first home office call-up in the world. A home office player. I saw this on the internet yesterday.’ And he also added: ‘One day we will have to create 11 Pelés with artificial intelligence.’",opinion,
Estimated hosting cost of recent FIFA World Cups,factual,
CE Sabadell are promoted to LaLiga Hypermotion after beating Zamora in the play-offs,factual,
“The father is useless”: Journalist France Pierron sparked a wave of criticism after saying she found it incomprehensible that Belgian player Jérémy Doku would leave the World Cup to attend the birth of his first child.,opinion,
"Post Match Thread: United States 2 - 0 Australia | FIFA World Cup 2026 | Group Stage, Group D",factual,
Australia penalty shout against USA - 61',factual,
[VI] Remco Balk (25) is set to join Bali United. The striker has left SC Cambuur on a free transfer and is set to sign a contract in Indonesia shortly. This has been confirmed by sources close to the matter.,factual,
Referee Felix Zwayer down with muscle cramps 90'+3',factual,
Cristiano Ronaldo has gone 10 consecutive World Cup and European Championship matches without scoring,factual,
This Japanese fan is having the time of his life with the Netherlands supporters,factual,
Saibari strikes after 70 seconds as Morocco puncture Scotland’s World Cup party | World Cup 2026 | The Guardian,factual,
"Achraf Hakimi will be prosecuted for rape charges, French court ruled",factual,
"Neves Calls Ronaldo 'Another Player,' Faces Fan Backlash and online harassment",opinion,
Wieczysta Kraków sign Duje Dujmović from Zrinjski,factual,
Arka Gdynia sign Marco Komenda from Holstein Kiel,factual,
"Materazzi: ""Ibrahimović is the greatest Inter fan in history for what he’s doing at Milan""",opinion,
"Matías Galarza scores the fastest goal for the Paraguay in this World Cup so far, finding the net in just 64 seconds (1 minute and 4 seconds) against Turkey.",factual,
"Bayern's response to Real Madrid for Olise: According to German media, Bayern wants to extend the contract until 2031.",factual,
Tchouameni steps on Maignan’s foot during a Senegal corner and France are awarded a free-kick,factual,
[Fabrizio Romano] Brighton submit new official bid to Spurs for Luka Vušković. Understand proposal worth £45m package add-ons included. Tottenham to decide soon on Croatian CB future after two bids already rejected.,factual,
Germany disallowed goal against Cote d’Ivoire 22',factual,
Rayan becomes the youngest Brazilian to play in a World Cup since 1970 [Marco Antônio at 19years and 134 days],factual,
"World Cup hydration breaks: Ads worth $250m in USA alone, so are they here to stay?",opinion,
"Pochettino on how this World Cup will change soccer in America: ""Above all, our players are going to be the great heroes."" ""I wish with all my heart that the 26, plus two young goalkeepers who are training with us, who are the future of soccer here, will be the heroes who change this sport""",opinion,
"[OptaJoao] Brazil's starting XI vs Haiti is their oldest in a World Cup match since the 1962 final against Czechoslovakia, with an average age of 30 years and 216 days",factual,
Raphinha disallowed goal against Haiti 13',factual,
4th Official Yusuke Araki waiting for FIFA Broadcast Liaison to signal the restart of USA vs. Paraguay delayed by commercials.,factual,
NFL star says it’s ‘crazy’ he has to pay full price for World Cup tickets at team’s own stadium,opinion,
"[SkySports] Leeds United are working on free transfers for Julian Brandt and Harry Wilson, Sky Sports News understands.",factual,
"Graeme Souness: ""Even If Ronaldo had retired 10 years ago in 2016, his place at the top- where only Pelé, Maradona and his great rival Messi sit - would already have been secured. He wouldn't need to kick another ball, as he'd already achieved so much. I love that the Ronaldo I know is arrogant.""",opinion,
"Marc Cucurella: ""When a team like Real Madrid comes calling, it's very difficult to say no. It has been difficult to leave Chelsea, I am very grateful, but I think that going to Real Madrid has been the right decision.""",opinion,
Instituto Reis officially announces that Vozinha will not be a volleyball instructor this summer for reasons beyond their control as he will be at the FIFA World Cup with Cape Verde. Vozinha spends his vacations every year teaching volleyball to children in Cape Verde.,factual,
The Tartan Army had a new member for their march in Providence earlier,factual,
FIFA’s World Cup concussion protocols under fire after USA incident: ‘Players are at risk’,opinion,
"Ismael Saibari today scored an almost identical goal to Salaheddine Bassir against Scotland in WC1998. It was also the last time both teams faced each other, 28 years almost to the day.",factual,
[Fotmob] Interesting. Scotland failed to register a shot on target. It the first time for them since that match against Denmark in 1986 when they went an entire FIFA World Cup match without one.,factual,
[Athletic] Brighton are interested in Michael Svoboda of Venezia as they reassess their pool of central defenders. The are prepared to meet a €5million release clause,factual,
"50 years ago today (June 20th), Antonin Panenka scores the famous penalty which gives Czechoslovakia the European Championship in Belgrade against West Germany.",factual,
"[Fabrizio Romano] EXCLUSIVE: Real Madrid reach verbal agreement to sign Marc Cucurella from Chelsea, HERE WE GO! Verbal agreement in place between all parties, player too — he’s the left back wanted by Mourinho. Details to follow. Cucurella leaves #CFC and joins Madrid after World Cup.",factual,
Racing Santander closes the signing of Sergio Canales. He will return to his boyhood club on a 2 year contract,factual,
Scottish World Cup Fans Drank So Much Beer That Boston’s Samuel Adams Taproom Needed an Emergency Delivery,factual,
Andrés Vaca from TUDN Mexico narrates the goal of Romo for Mexico 1 - South Korea,factual,
10 men and a statue: Portugal are sacrificing another World Cup for Cristiano Ronaldo’s ego,opinion,
Germany becomes the team with most goals scored in the FIFA World Cup history with 239 goals overtaking Brazil.,factual,
There have already been more red cards at the 2026 World Cup than there were during the entirety of the 2022 World Cup,factual,
[ESPN FC] Folarin Balogun with back-to-back man-of-the-match awards for the United States,factual,
[Reuters] Pitch not perfect: World Cup players find weirdness underfoot on innovative grass,opinion,
[Matteo Moretto] José Mourinho has asked the club to stop talks regarding Gonzalo García's departure from Real Madrid until he assesses the player himself,factual,
The Saudi national team also cleaned up their locker room after the match vs. Uruguay this morning.,factual,
Iran says their player Mehdi Torabi's US visa has expired after opening game as he was only issued a single-entry visa instead of the multiple-entry visa given to other Iranian national team players take part in the World Cup,factual,
"Leo Messi: “I cried after the first goal, yes... but it was something completely unrelated to football. I went through some difficult days, but I’m grateful to the entire delegation and my teammates because they were always by my side, giving me a lot of strength”",opinion,
‘Not in our best moment’: Strikes and tension temper World Cup buzz in Mexico City,opinion,
"46-year-old Ronaldinho joins Ravenna, in Italian Serie C (third division)",factual,
Argentinian TV host resigns after falsely reporting death of Lionel Messi’s father,factual,
Jesse Marsch: windmilling human meme or shrewd protector of suddenly dangerous Canada? | World Cup 2026,opinion,
"Argentina star Lionel Messi's father Jorge has health issue, family confirm - ESPN",factual,
"[Sky] Kaiki to Como, deal close to being finalized for €14 million fixed fee plus €1 million in bonuses.",factual,
[Ornstein] Ipswich working to finalise Gary O’Neil appointment as new head coach,factual,
Como sign Luis Milla from Getafe,factual,
"Atlético are intensifying negotiations for Alex Grimaldo, Morten Hjulmand and Kangin Lee, with the aim of making some deals official next week",factual,
Indonesia seeks to host 2026 FIFA ASEAN Cup,factual,
[ Ornstein] Liverpool ready to offer package approaching €100m for Yan Diomande,factual,
Kylian Mbappé becomes the all-time top scorer of France with 58 goals,factual,
"BBC - The ball has been in play for 59.4% of match time so far in the 2026 World Cup, an increase from the tournaments in Qatar (56.9%) and Russia (56.2%).",factual,
"They're men , Not robots ' : Turkey coach tells critics to get off players backs",opinion,
"[VI] Go Ahead Eagles are in talks with Joris Kramer about a new contract. The 29-year-old defender is in demand at other clubs. FC Groningen have already made an offer for him, but if Go Ahead have their way, Kramer won’t be going anywhere.",factual,
Inter-Palestra in the process of being defined: in these hours inter is working on defining the last details of the bonuses and percentages on the future resale but there are no more doubts: Palestra will join Inter Milan,factual,
[Yahoo Sports] Portugal manager Roberto Martinez in talks to join Cristiano Ronaldo’s Al-Nassr,factual,
"[Ferran Correas] Barcelona are close to completing the signing of Jorge Salinas, Salinas agreed to join after learning that Deco intends for him to participate in pre-season training under Flick and be registered with the first team next season,the signing of Salinas doesn't affect the Cancelo deal.",factual,
Leipzig boss Marcel Schäfer hasn't ruled out leaving the club with immediate effect after the dismissal of Ole Werner. Schäfer was very unhappy about the decision and the way it happened with Jürgen Klopp being one of the driving forces behind dismissing Werner and appointing Martin Demichelis.,factual,
" Shoot at me , Not them ' : Furious Paraguay coach tells media to back off",opinion,
[TG] Ajax have reached an agreement in principle with AS Monaco on the transfer of Caio Henrique (28). €9M fixed fee + €500k in potential bonuses,factual,
[Fabrizio Romano] Man City agree on new deal for Doku,factual,
"Norwegian parliament gets behind World Cup team with Viking "" Rowing "" display",factual,
Rendition of Scotland’s anthem “Flowers of Scotland” before the start of the match,factual,
[Official] Vitesse and Marco Schikora have signed a new contract. The German midfielder has extended his expiring contract and is now tied to the club until the summer of 2028.,factual,
World Cup 2026: Scotland's Boston love affair one for the ages,opinion,
"With his brace yesterday, Harry Kane already scored 69 goals this season: the 2nd best of any player in the 21st century",factual,
"[Official] Plamen Andreev neemt afscheid van Feyenoord. De 21-jarige doelman, die in Rotterdam nog een contract had tot medio 2029, wordt per direct overgenomen door Debreceni VSC en vervolgt zijn carrière in Hongarije.",factual,
UEFA Conference League second qualifying round draw,factual,
[Ajax Showtime] Ajax has ruled out signing young talents from Sporting Portugal and West Ham United,factual,
World Cup 2026: The celebration photo that sums up my relationship with Mbappe - Olivier Giroud,opinion,
"Bellingham, England’s man for elite moments, kicks over the console table | World Cup 2026 | The Guardian",opinion,
FIFA displays the moroccan flag instead of the DRC flag at the beginning of the match,factual,
Will Kylian Mbappe become the World Cup’s greatest player?,opinion,
More than a game: why Cabo Verde's draw was the country's greatest moment,opinion,
2 World Cup players accused of sexual assault (Ghana's Thomas Partey and Japan's Kaishu Sano) receive contrasting treatments,opinion,
From Shamrock Rovers to defying Spain: ‘Rusty’ Roberto Lopes savours Cape Verde’s finest hour,opinion,
[The Guardian] David Squires on ... a thirst for adverts and other notes from the World Cup so far,opinion,
[The Guardian] France are stacked with talent but memories of Senegal's 2002 upset still linger,opinion,
FIFA's hydration break farce the ultimate insult for weary World Cup fans,opinion,
"FIFA's World Cup 'hydration breaks' are a money-grabbing disgrace: Gianni Infantino is selling football's soul to broadcasters - and fans are paying the price, writes RIATH AL-SAMARRAI",opinion,
[Argentina] Outrage. Controversy over an AI-generated image of Diego Maradona used in a sports betting ad,opinion,
What if Neymar won the world cup,opinion,
Injury deprived me of chance to play so I am going to the World Cup to support Brazil | Rodrygo,opinion,
World Cup 2026: BBC pundits disagree on potential red card in Canada-Bosnia match,opinion,
FIFA World Cup: Cannabis shops have high expectations,opinion,
[Athletic] Jose Mourinho and Real Madrid: The inside story on an unexpected return,opinion,
"Freeform rambling , Misdirection and no regrets. Gianni Infantino says it is time to start World Cup ‘Party’",opinion,
Erik Niva: Football's worst enemy. [Translation below],opinion,
[BBC Sport] Craig Gordon: From risk of death to the oldest man at the World Cup,factual,
Guardian Cartoon about the World Cup,opinion,
World Cup Rank: The 50 best players in the 2026 tournament,opinion,
I was jailed for speaking out about the treatment of workers at the Qatar World Cup. I am still being punished | Abdullah Ibhais,opinion,
The Hotspot | ‘This may be our last chance’: Rising sea levels threaten Kiribati’s World Cup dream,opinion,
Christian Eriksen: How do ‘Heart starter’ ICDs work ? And are athletes more at risk ?,factual,
"Who, exactly, is this World Cup for? | Jerry Brewer, The Athletic",opinion,
Declan Rice drove Arsenal to success. Now England have the perfect vice-captain | The Athletic [Free Read],opinion,
World Cup will reveal how divisive the St George’s flag has become,opinion,
World Cup 2026: Are Portugal a better team without Cristiano Ronaldo?,opinion,
[The Atlantic] The World Cup of Ugh,opinion,
Check out this Serie A version of 38-0,opinion,
"As an American, should you feel guilty about rooting against the US in the World Cup?",opinion,
Graeme Souness: Pickford is claiming clean-sheet records against f---ing pub teams,opinion,
Paul Howard: You spend your life chasing the way the World Cup made you feel when you were 11,opinion,
Opinion | The 2026 World Cup is a mess. The tournament will be great anyway.,opinion,
"The Soccer 100: Lionel Messi — ""The greatest of all time"" by Oliver Kay via The Athletic",opinion,
World Cup 2026: Heat experts warn 'reckless' Fifa of bottle ban health risk,opinion,
Why FIFA’s 2026 World Cup is such a rip-off | The Athletic [Free Read],opinion,
Why do managers struggle after stepping up to 'big-six' clubs?,opinion,
Fixing in sport: ‘I don’t want to get us killed’ – How suspected cartel money corrupted Australian soccer,opinion,
[The Athletic] How referee calls shaped the Premier League: What the table could have looked like with correct decisions,opinion,
"Montella ""There were 65 shots in two matches, and I don't even want to mention the ball possession. I've never seen a team lose two matches in a row with these statistics. Fate wasn't on our side.""",opinion,
"Carlo Ancelotti: ""I think this is going to be a World Cup of intensity — of high intensity. Taking into account that, for example, Argentina does not play a high-intensity football.""",opinion,
‘The cops bought me an egg and cheese muffin’: Boston’s love affair with Tartan Army goes on,opinion,
"Atlético director Oscar Mayo: ""We will generate over €500M revenue, up from €390M 2 years ago. 25% stadium, 25% commercial, 50% La Liga/Champions League TV money. La Liga & Champions League will be more next year with new TV-deals. We are among the eight or ten biggest football brands in the world.""",opinion,
"Danilo on Morocco Draw: ""The best way to improve and put things right is to face up to reality and take a clear-eyed look at everything that happened."" ""We need to be certain that that first half fell completely short of our capabilities and of what is expected of the Brazilian national team.""",opinion,
"Jude Bellingham: ""Sometimes I deserve to have bad things said about me. I know it's part of being a footballer, I don't hold a grudge against anyone who says bad things about me.""",opinion,
"""What was missing? Nothing was missing, this is football. Portugal could have won, but also could have lost. It could have gone either way."" Cristiano Ronaldo defends Portugal after disappointing World Cup result against DR Congo",opinion,
South Korea coach calls drone sighting ‘Unfortunate’ ahead of Mexico clash,opinion,
Mo Touré’s parents on the struggles that paved way for a Socceroos career: ‘It was life or death’,opinion,
"Roberto Martinez on not taking out Cristiano Ronaldo ""It makes no sense to get the best goal scorer in world football out in a game that you need goals.""",opinion,
"Tuchel on Harry Kane: ""If you see the commitment of our captain, our number nine, in the extra time to block a crucial shot after a set piece with all his body, then you know everything about his performance today.""",opinion,
"Harry Kane ""When I watched the clips I saw Livakovic likes to move early, so I knew that there was a chance that if I did the stutter that he would come off the line. Then obviously when it got retaken I changed the technique a little bit. This is why I do the research, and in the end it worked out""",opinion,
"[Marcelo] “This is a red card, but because it's Messi there's nothing [no card]”",opinion,
“Dear Roxane” Yan Diomande tribute to his sister Roxane,opinion,
Ronaldo Nazário: “It’s time for the world to stop hiding and accept the fact that Messi is the greatest of all time.”,opinion,
Adrien Rabiot raises concerns about MetLife Stadium pitch: “It felt more like an artificial surface - quite hard and rigid.”,opinion,
Senegal’s Kalidou Koulibaly questions World Cup travel ban for fans: ‘Africans can’t have their people’,opinion,
"Messi on moving level as the joint all-time top scorer in World Cup history: ""It’s an honour, obviously, to be there because of what it means to be alongside Klose and Ronaldo is there as well, and Mbappe scored two today. But in the end it is statistics and nothing more""",opinion,
"Lionel Scaloni on Messi: “What Leo did is difficult to explain.” “We see him every day and he still surprises us. He has been doing it for 20 years, every single match. What he did today at 38 is difficult to explain.”",opinion,
"Leo Messi: “I cried after the first goal, yes... but it was something completely unrelated to football. I went through some difficult days, but I’m grateful to the entire delegation and my teammates because they were always by my side, giving me a lot of strength""",opinion,
Alexi Lalas defends Fox's commercials during hydration breaks,opinion,
"[Emerse Faé] ""When we were in France, during the preparation, journalists told me Yan Diomande was about to sign with PSG. Here, they tell me he's about to sign with Liverpool! I don't know, but for now, he will focus on the World Cup, and then afterwards, he can think about the rest of his career.""",opinion,
‘ I don’t see meaning in football without Mexico ’: Guillermo Ochoa eying retirement post World Cup,opinion,
Patrick Vieira interview : ‘ I was so proud to play for France ... But Senegal is also part of who I am ’,opinion,
Saka says he is gambling on fitness but ‘ Ready to go ’ for England’s date with Croatia,opinion,
"Lionel Scaloni: “I can give you reassurance. It's a football match. We have the experience from the last World Cup that not everything ends with the first game... we’re up against a strong team with some very talented players. We're good, calm, confident and arriving at a good moment.”",opinion,
"Rodri: ""It's tough against such a physical and compact team [Cape Verde]. The positive thing is that they didn't create anything against us. They play like that in the end and don't even get past the midfield.""",opinion,
"[Index] Gabby Agbonlahor: ""Modric is 40 years old. Croatia haven’t really got players that run in behind with pace. If Modric had Rashford and Gordon running in behind then I’d say ok, but they’ve not really got that squad of players. We should not be worried about Croatia, we really shouldn’t.""",opinion,
World Cup 2026: Kylian Mbappe plans to increase defensive work after criticism,opinion,
"Van der Vaart ""Van de Ven was close to Ogawa. He completely lost track of him. If you are the one man-marking, then you are responsible for your man. They [Japanese players] do look alike, maybe he thought so... It was just a joke, of course.""",opinion,
"In 2017, R. Amorim said: ""When I was a child I loved watching Benfica and Milan. I remember watching Milan tapes with Maldini, Baresi, Gullit, Rijkaard, Savicevic. My childhood dreams were to play for Benfica and Milan. I fulfilled my dream of playing for Benfica. Now I have to be a coach at Milan.""",opinion,
"Graham Potter on Sweden's win: “I’m really pleased for the players because they put a lot into our work over the last two and a half, nearly three weeks together,” “We know we’re not the finished article, but that’s also exciting as well,”",opinion,
"Nagelsmann on Germany's win: “I was absolutely delighted for the team. I’ve just congratulated them as well. Given what happened at the last two tournaments in particular, this win is especially important.”",opinion,
